dataset,algorithm,spec,metric,seed42,mean10,sd10,min10,max10
NASA93,SVR,raw,MMRE,2.8742023824351577,2.9045594561358397,0.059324290485287055,2.825630849939624,3.0140435962101697
NASA93,SVR,raw,MdMRE,1.089959352118206,1.1536120400306327,0.16379859142734912,0.8847862742186392,1.4271182300808585
NASA93,SVR,raw,PRED25,9.777777777777777,10.344444444444445,2.1369118648751453,6.444444444444445,14.0
NASA93,SVR,raw,SA,42.46500679476706,41.12179057661085,1.307095795523876,39.57223971734952,43.25071351713754
NASA93,LR,semilog,MAE,882.7292843740628,1897.9539213762484,1115.0332569808377,882.7292843740628,4683.355837563575
NASA93,LR,semilog,RMSE,2065.3224661680097,5183.118637701698,3300.31351367434,2065.3224661680097,13367.0639138709
NASA93,LR,semilog,MMRE,1.3625300618480436,1.5180191123793727,0.24050000095516966,1.2537937909522712,2.077074067894375
NASA93,LR,semilog,MdMRE,0.5276887517813603,0.5650474165785278,0.05503441700167322,0.5096486667504647,0.6891571583818056
NASA93,LR,semilog,PRED25,18.0,22.0,3.5551697321530242,17.0,29.111111111111107
NASA93,LR,semilog,SA,22.45677731058492,-89.55126354063927,104.14228537065252,-327.36027119264486,22.45677731058492
NASA93,DT,semilog,MAE,422.9173278856022,412.20206194529976,23.86504619044819,385.35229024326173,466.6053333333333
NASA93,DT,semilog,RMSE,745.6529475443978,769.0921250535171,53.731414423329376,721.0418855992755,877.7591524407022
NASA93,DT,semilog,MMRE,1.3961655262060422,1.0748221905948234,0.2719528085899919,0.7661364250326127,1.4978763034021878
NASA93,DT,semilog,MdMRE,0.4727607621324578,0.42947084072184893,0.051359409081315026,0.3665709571033087,0.5377600752187934
NASA93,DT,semilog,PRED25,32.222222222222214,36.15555555555555,3.60847957296868,29.77777777777778,42.11111111111111
NASA93,DT,semilog,SA,53.34624674636564,54.193629840083574,3.2421473443509354,46.076588326465185,57.827537034160194
NASA93,RF,semilog,MAE,312.5489667579249,298.59888058667866,12.237902958999058,283.0495227763796,317.71997361282234
NASA93,RF,semilog,RMSE,603.7785098567242,579.353620527887,25.079247577487795,554.2207794728419,626.6541232421338
NASA93,RF,semilog,MMRE,0.6395690723941517,0.596010858901375,0.03303444240286991,0.5578244591356974,0.6561886423246126
